,SurfArea,Capacity,CatchArea,DamHt,DamLen,Depth,AvgRelease,DOR,Elev
1001,3.41061952024106,5.718671087149952,6.530877627725885,3.4011973816621555,8.760766624241956,2.312535423847214,8.462103225098277,5.318119993844216,6.013715156042802
1003,2.2778824803536737,5.974826905954958,7.557994958530806,3.295836866004329,7.269616749608169,3.696351468952637,9.661479683575521,4.375757021660286,5.6240175061873385
1006,4.569460103354013,7.6327886484044045,8.001019961323651,3.8918202981106265,7.527793987721444,3.0633909220278057,10.514230906841258,5.180096735160606,5.579729825986222
1007,2.178268258486665,5.756691130311603,7.2875606403097235,3.367295829986474,7.513709247839705,3.5779478934066544,9.308736693832376,4.509760001183433,5.676753802268282
1017,1.9338375678210442,6.233233562545356,7.762170607138205,3.8501476017100584,7.160845906664299,4.300002799195291,10.174201476757755,4.120661870539474,5.017279836814924
1020,2.8164261657204936,6.032846384886751,7.1853870155804165,3.091042453358316,7.764720544771477,3.214867803470662,9.32375833901174,4.770684624465665,5.37989735354046
1021,4.41595693593629,7.107753020789034,9.008224187854049,3.044522437723423,7.513163545234075,2.6946271807700692,10.101067111719063,5.0682750735426705,5.855071922202427
1023,4.073427313966713,7.400620577371135,11.687298851915008,3.6375861597263857,7.9672801789422,3.32862668882732,11.66554354239074,3.7977338590260183,5.730099782973574
1026,4.771582526315865,8.359439361365961,9.243678431586693,4.3694478524670215,7.579678823090456,3.5890591188317256,11.904433626449189,4.516338972281476,5.6240175061873385
1027,1.884034745337226,4.821893169499378,8.512381634419015,3.258096538021482,8.255308811785596,2.9391619220655967,8.443977129084978,4.440295542797857,6.424869023905388
1028,1.2963696535919036,4.919980925828125,5.093750200806762,3.4011973816621555,6.880384082186005,3.624340932976365,7.118826249062078,5.8630628323034575,5.455321115357702
1032,4.742668699173725,7.561797739661321,9.318117964149614,3.7376696182833684,7.1846291527173145,2.8213788864092133,11.448002870085778,4.175924549214524,5.262690188904886
1033,4.267765514784837,7.786468746500926,8.03398273468322,4.248495242049359,6.665683717782408,3.517497837358316,10.501004502080823,5.3471075307174685,5.8377304471659395
1036,5.031763839360192,8.8054800809293,9.654320816312682,4.454347296253507,6.5337888379333435,3.7727609380946383,12.329068736239314,4.537961436294641,5.2832037287379885
