ReservoirID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1001,57.71,2.86,42.475,20.247,42.475,29.534,114.626,85.007,26.221,10.817,21.266,0.396,42.475,108.17,27.666,81.807,39.332,40.323,31.913,118.251
1003,137.62,60.513,150.079,176.131,96.277,124.028,143.0,234.123,154.581,122.782,179.274,53.547,98.089,198.529,160.358,196.632,28.175,133.174,70.99,591.226
1006,105.169,66.035,89.708,112.219,107.944,140.904,140.989,127.652,98.458,109.416,150.221,101.997,105.367,150.164,169.25,149.145,101.544,143.821,112.135,152.939
1007,100.241,40.153,123.744,146.398,87.301,99.392,116.099,132.324,153.76,90.642,73.142,35.424,70.735,113.975,134.873,117.317,20.275,100.893,62.155,131.39
1017,70.367248,75.4076384,103.639488,109.3311648,108.5666112,109.6709664,109.4727488,62.013792,104.77216,99.1088,96.560288,108.170176,106.7260192,108.6798784,107.9436416,103.781072,108.6515616,108.3967104,106.2163168,107.887008
1020,16.282,152.203,80.193,84.95,70.792,74.275,1356.375,86.196,86.791,84.441,37.237,63.43,71.302,96.928,99.987,7.589,82.232,85.403,99.618,87.669
1021,95.371,51.678,168.853,102.903,85.092,73.284,179.047,172.648,128.502,118.534,41.116,22.37,79.145,288.718,34.575,216.397,239.673,197.255,208.667,310.72
1023,453.069,171.6,543.683,566.336,637.128,433.247,622.97,1112.312,301.517,594.115,519.925,113.607,282.007,1663.442,577.295,1298.863,356.735,431.944,446.782,1162.914
1026,258.532384,218.03936,413.991616,510.835072,439.476736,665.3881664,528.4764384,422.486656,428.150016,423.902496,569.16768,428.150016,535.753856,542.8613728,471.8711552,555.292448,385.3633312,558.690464,413.6801312,393.1504512
1027,14.442,1.161,22.653,5.663,3.738,6.513,27.184,9.429,5.72,15.404,5.692,1.841,3.709,5.72,4.842,7.617,16.877,21.011,20.473,14.81
1028,15.008,2.124,14.725,16.99,16.141,32.564,29.251,56.634,17.358,16.962,30.894,15.319,11.921,18.689,14.413,30.497,2.803,25.598,18.548,18.972
1032,404.93,124.594,538.019,566.336,546.514,693.762,707.92,1417.737,675.639,701.152,714.688,277.929,507.72,691.921,769.792,819.573,259.297,427.074,433.615,646.869
1033,97.69296,122.894912,203.88096,237.577952,236.44528,1346.860275,237.86112,239.843296,240.6928,239.560128,1450.386496,239.560128,241.825472,240.0981472,251.9062528,498.658848,218.8039136,237.4080512,218.6623296,231.8013248
1036,422.203488,395.302528,563.50432,800.515936,674.789344,860.7174528,846.3042016,547.363744,844.690144,780.411008,808.161472,759.173408,573.981536,745.864512,856.5832,543.965728,565.769664,703.106144,559.823136,521.595456
1042,154.043392,92.879104,208.977984,230.215584,205.579968,299.2519424,276.4002848,165.936448,193.403744,199.63344,181.510688,254.8512,191.704736,180.944352,306.387776,187.740384,174.997824,195.4425536,164.803776,173.015648
1048,959.77,276.315,2296.323,1032.147,1685.586,1447.47,3152.736,6851.986,1204.427,1110.472,1000.319,342.152,596.493,3967.495,1563.88,3312.952,903.249,1281.618,1883.379,2638.701
1053,523.634,396.917,854.686,1846.708,1270.858,2292.641,2229.835,3686.224,1803.667,4713.36,2047.559,568.601,1157.393,2385.747,2246.881,3587.739,513.553,1118.91,1145.358,2166.802
1067,182.077024,107.037504,141.867168,303.556096,150.928544,219.738368,174.714656,218.605696,217.189856,221.154208,221.154208,220.587872,218.888864,218.605696,165.086944,203.88096,168.201792,224.127472,179.7550464,158.007744
1070,9.571,10.789,10.336,123.971,139.828,10.675,112.927,12.035,232.113,13.309,11.978,8.637,0.255,0.17,8.127,7.108,7.249,5.833,4.332,7.419
1078,5264.858,12329.135,3294.178,4530.292,7797.739,4808.419,7508.653,3845.336,5636.516,6896.132,5188.374,5634.08,6719.322,6419.334,3313.32,7319.78,5434.532,2858.666,6778.787,8947.826
1084,54.085088,66.686064,73.340512,79.570208,69.1213088,96.843456,71.0468512,60.88112,88.065248,80.986048,216.057184,82.9399072,87.2440608,86.9892096,89.1412864,89.90584,62.438544,89.4244544,92.0296,64.8737888
