ReservoirID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1001,79.287,6.088,176.131,152.911,123.461,139.602,417.673,234.463,184.059,151.778,60.032,110.436,118.506,232.198,113.267,339.802,25.485,178.396,99.109,607.395
1003,445.99,176.98,1101.524,385.108,472.891,467.227,656.95,1359.206,588.989,348.297,495.544,122.329,260.515,679.603,665.445,671.108,27.75,441.742,342.633,2078.453
1006,253.719,881.785,297.326,503.048,660.489,1515.374,784.942,1986.99,1138.335,1330.89,1015.865,342.633,311.485,2403.813,1302.573,1151.078,518.197,552.178,462.555,1142.724
1007,230.499,110.436,760.023,348.297,552.178,302.99,492.712,1076.038,767.385,213.792,188.307,40.493,189.723,509.702,676.772,560.673,29.733,404.93,264.054,1464.828
1017,76.738528,225.11856,576.4450976,1484.140122,390.77184,762.7696416,1477.117555,138.9505376,436.0504032,323.4061728,488.2948992,509.0227968,389.2710496,581.0041024,1836.202896,282.743248,725.8162176,445.140096,525.3332736,562.5698656
1020,36.812,159.99,198.218,172.732,433.247,580.494,1602.731,387.94,839.593,355.376,70.792,113.267,385.108,501.207,427.584,67.96,266.178,250.179,375.622,242.109
1021,167.069,135.354,328.475,195.386,126.01,139.319,548.213,328.475,246.356,218.039,67.96,49.554,152.911,644.207,70.792,716.415,468.643,474.306,453.777,1039.227
1023,798.534,291.663,1353.543,1118.514,1452.652,1735.82,2265.344,4655.282,1132.672,1792.453,764.554,351.128,656.95,3284.749,1398.85,3296.076,768.801,1047.722,1060.464,4819.519
1026,412.9155776,489.739056,1754.282394,3370.888506,1002.41472,3327.818653,2414.658486,1176.761258,1802.081152,1304.951411,3511.99112,1161.470186,1326.981882,2545.085667,1406.467139,2230.599286,1041.322003,1537.772141,1054.8008,926.384112
1027,25.202,5.097,56.634,9.911,5.663,16.282,59.465,24.069,8.778,18.406,8.495,3.823,3.964,9.911,3.398,6.23,56.634,20.105,12.743,28.317
1028,32.564,36.812,42.475,40.21,103.215,209.544,150.079,84.95,99.109,90.614,124.594,39.644,77.871,169.901,107.604,70.792,64.421,77.871,121.479,179.812
